watched_at,action,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,tvdb_id,url,released,runtime,season_number,episode_number,episode_title,episode_released,episode_trakt_rating,episode_trakt_id,episode_imdb_id,episode_tmdb_id,episode_tvdb_id,genres
2026-01-05T13:52:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/2/episodes/9,2008-09-10,44,2,9,Snakehead,2009-12-04T02:00:00Z,7.66741,100286,tt1537549,88152,1299911,"drama,mystery,science-fiction,crime"
2026-01-05T03:05:00Z,watch,episode,wtFOCK,2018,8.3299,137189,tt9599524,85213,353739,https://trakt.tv/shows/wtfock/seasons/8/episodes/5,2018-10-06,21,8,5,Episode 5,2024-06-14T20:00:00Z,5.0,12177739,,5520722,,"comedy,drama"
2026-01-05T02:29:00Z,watch,episode,wtFOCK,2018,8.3299,137189,tt9599524,85213,353739,https://trakt.tv/shows/wtfock/seasons/8/episodes/4,2018-10-06,21,8,4,Episode 4,2024-06-07T20:00:00Z,5.0,12177738,,5520720,,"comedy,drama"
2026-01-05T02:08:00Z,watch,episode,wtFOCK,2018,8.3299,137189,tt9599524,85213,353739,https://trakt.tv/shows/wtfock/seasons/8/episodes/3,2018-10-06,20,8,3,Episode 3,2024-05-31T20:00:00Z,5.0,12177737,,5520719,,"comedy,drama"
2026-01-05T00:50:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/6/episodes/9,1999-03-29,22,6,9,A Clockwork Origin,2010-08-13T00:00:00Z,7.64603,38887,tt1630898,35085,2419611,"animation,comedy,science-fiction,adventure"
2026-01-05T00:15:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/2/episodes/8,2008-09-10,44,2,8,August,2009-11-20T02:00:00Z,7.99567,100285,tt1504315,88150,1183761,"drama,mystery,science-fiction,crime"
2026-01-04T21:45:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/2/episodes/7,2008-09-10,44,2,7,Of Human Action,2009-11-13T02:00:00Z,7.73792,100284,tt1504316,88144,1183751,"drama,mystery,science-fiction,crime"
2026-01-04T21:10:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/2/episodes/6,2008-09-10,44,2,6,Earthling,2009-11-06T02:00:00Z,7.66346,100283,tt1494949,88142,1183741,"drama,mystery,science-fiction,crime"
2026-01-04T20:17:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/2/episodes/5,2008-09-10,44,2,5,Dream Logic,2009-10-16T01:00:00Z,7.67744,100282,tt1498335,88138,1129471,"drama,mystery,science-fiction,crime"
2026-01-04T20:02:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/2/episodes/4,2008-09-10,44,2,4,Momentum Deferred,2009-10-09T01:00:00Z,7.97561,100281,tt1478013,88135,1108001,"drama,mystery,science-fiction,crime"
2026-01-04T16:28:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/2/episodes/3,2008-09-10,44,2,3,Fracture,2009-10-02T01:00:00Z,7.81888,100280,tt1478012,954166,1088721,"drama,mystery,science-fiction,crime"
2026-01-04T16:27:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/2/episodes/2,2008-09-10,44,2,2,Night of Desirable Objects,2009-09-25T01:00:00Z,7.68801,100279,tt1461321,88123,1039421,"drama,mystery,science-fiction,crime"
2026-01-03T22:47:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/2/episodes/1,2008-09-10,44,2,1,A New Day in the Old Town,2009-09-18T01:00:00Z,7.97065,100278,tt1458249,88103,761301,"drama,mystery,science-fiction,crime"
2026-01-03T21:55:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/20,2008-09-10,47,1,20,There's More Than One of Everything,2009-05-13T01:00:00Z,8.2568,100277,tt1400652,88013,497841,"drama,mystery,science-fiction,crime"
2026-01-03T21:55:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/19,2008-09-10,51,1,19,The Road Not Taken,2009-05-06T01:00:00Z,7.9966,100276,tt1400654,88052,444946,"drama,mystery,science-fiction,crime"
2026-01-03T17:47:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/18,2008-09-10,51,1,18,Midnight,2009-04-29T01:00:00Z,7.72416,100275,tt1390443,88006,444945,"drama,mystery,science-fiction,crime"
2026-01-03T14:31:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/17,2008-09-10,51,1,17,Bad Dreams,2009-04-22T01:00:00Z,7.87967,100274,tt1380404,88003,444944,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/16,2008-09-10,51,1,16,Unleashed,2009-04-15T01:00:00Z,7.64076,100273,tt1375588,87996,444943,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/15,2008-09-10,50,1,15,Inner Child,2009-04-08T01:00:00Z,7.87181,100272,tt1371600,87976,437727,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/14,2008-09-10,51,1,14,Ability,2009-02-11T02:00:00Z,8.00333,100271,tt1352058,87947,422561,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/13,2008-09-10,50,1,13,The Transformation,2009-02-04T02:00:00Z,7.76985,100270,tt1248541,88061,420374,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/12,2008-09-10,51,1,12,The No-Brainer,2009-01-28T02:00:00Z,7.53481,100269,tt1248540,88087,420373,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/11,2008-09-10,51,1,11,Bound,2009-01-21T02:00:00Z,7.88682,100268,tt1248539,88066,412091,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/10,2008-09-10,50,1,10,Safe,2008-12-03T02:00:00Z,7.93163,100267,tt1248538,88023,408746,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/9,2008-09-10,50,1,9,The Dreamscape,2008-11-26T02:00:00Z,7.72951,100266,tt1248549,87941,402434,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/8,2008-09-10,50,1,8,The Equation,2008-11-19T02:00:00Z,7.70592,100265,tt1248548,87935,402433,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/7,2008-09-10,50,1,7,In Which We Meet Mr. Jones,2008-11-12T02:00:00Z,7.78732,100264,tt1248547,88382,399476,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/6,2008-09-10,50,1,6,The Cure,2008-10-22T01:00:00Z,7.62413,100263,tt1248546,87926,393881,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/5,2008-09-10,50,1,5,Power Hungry,2008-10-15T01:00:00Z,7.66667,100262,tt1248545,88075,391049,"drama,mystery,science-fiction,crime"
2026-01-02T21:46:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/4,2008-09-10,50,1,4,The Arrival,2008-10-01T01:00:00Z,7.84149,100261,tt1248544,87916,387578,"drama,mystery,science-fiction,crime"
2026-01-02T21:45:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/3,2008-09-10,51,1,3,The Ghost Network,2008-09-24T01:00:00Z,7.70335,100260,tt1248543,87881,386717,"drama,mystery,science-fiction,crime"
2026-01-02T21:45:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/2,2008-09-10,51,1,2,The Same Old Story,2008-09-17T01:00:00Z,7.66319,100259,tt1248542,87878,386103,"drama,mystery,science-fiction,crime"
2026-01-02T21:45:00Z,watch,episode,Fringe,2008,8.55478,1693,tt1119644,1705,82066,https://trakt.tv/shows/fringe/seasons/1/episodes/1,2008-09-10,82,1,1,Pilot,2008-09-10T01:00:00Z,7.98797,100258,tt1248537,87875,367882,"drama,mystery,science-fiction,crime"
2026-01-02T20:39:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/6/episodes/8,1999-03-29,22,6,8,That Darn Katz!,2010-08-06T00:00:00Z,7.45062,38886,tt1630897,35084,2419591,"animation,comedy,science-fiction,adventure"
2025-12-31T03:02:00Z,watch,episode,Dirk Gently's Holistic Detective Agency,2016,8.00022,108103,tt4047038,67773,312505,https://trakt.tv/shows/dirk-gently-s-holistic-detective-agency/seasons/1/episodes/1,2016-10-23,53,1,1,Horizons,2016-10-23T01:00:00Z,7.6499,2250466,tt5753436,1222002,5632211,"comedy,fantasy,science-fiction,crime"
2025-12-31T02:07:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/6/episodes/7,1999-03-29,22,6,7,The Late Philip J. Fry,2010-07-30T00:00:00Z,8.27273,38885,tt1630896,35083,2394101,"animation,comedy,science-fiction,adventure"
2025-12-30T20:59:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/6/episodes/6,1999-03-29,22,6,6,Lethal Inspection,2010-07-23T00:00:00Z,7.84156,38884,tt1630895,35082,2394091,"animation,comedy,science-fiction,adventure"
2025-12-30T20:58:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/6/episodes/5,1999-03-29,22,6,5,The Duh-Vinci Code,2010-07-16T00:00:00Z,7.62106,38883,tt1630894,35081,2394081,"animation,comedy,science-fiction,adventure"
2025-12-30T16:29:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/6/episodes/4,1999-03-29,22,6,4,Proposition Infinity,2010-07-09T00:00:00Z,7.35546,38882,tt1630893,35080,2394071,"animation,comedy,science-fiction,adventure"
2025-12-30T01:49:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/6/episodes/3,1999-03-29,22,6,3,Attack of the Killer App,2010-07-02T00:00:00Z,7.75153,38881,tt1630892,35079,2394061,"animation,comedy,science-fiction,adventure"
2025-12-29T12:56:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/6/episodes/2,1999-03-29,22,6,2,In-A-Gadda-Da-Leela,2010-06-25T00:00:00Z,7.43429,38880,tt1630891,35078,1349211,"animation,comedy,science-fiction,adventure"
2025-12-29T12:34:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/6/episodes/1,1999-03-29,22,6,1,Rebirth,2010-06-25T00:00:00Z,7.71692,38879,tt1620650,35077,1051911,"animation,comedy,science-fiction,adventure"
2025-12-29T04:08:00Z,watch,movie,Violent Night,2022,7.03128,721339,tt12003946,899112,,https://trakt.tv/movies/violent-night-2022,2022-12-02,111,,,,,,,,,,"action,comedy,holiday,fantasy"
2025-12-29T02:51:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/16,1999-03-29,22,5,16,The Devil's Hands Are Idle Playthings,2003-08-11T00:00:00Z,8.1608,38878,tt0584456,1232884,131245,"animation,comedy,science-fiction,adventure"
2025-12-28T22:35:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/15,1999-03-29,22,5,15,Bender Should Not Be Allowed On TV,2003-08-04T00:00:00Z,7.43164,38877,tt0779827,1232883,131244,"animation,comedy,science-fiction,adventure"
2025-12-28T22:27:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/14,1999-03-29,22,5,14,Obsoletely Fabulous,2003-07-28T00:00:00Z,7.55222,38876,tt0757484,1232882,131243,"animation,comedy,science-fiction,adventure"
2025-12-28T22:27:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/13,1999-03-29,22,5,13,Bend Her,2003-07-21T00:00:00Z,7.44606,38875,tt0584433,1232881,131242,"animation,comedy,science-fiction,adventure"
2025-12-28T12:54:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/12,1999-03-29,22,5,12,Spanish Fry,2003-07-14T00:00:00Z,7.63196,38874,tt0584434,1232880,131241,"animation,comedy,science-fiction,adventure"
2025-12-28T12:23:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/11,1999-03-29,22,5,11,Three Hundred Big Boys,2003-06-16T00:00:00Z,7.86169,38873,tt0584461,1232879,131240,"animation,comedy,science-fiction,adventure"
2025-12-27T21:38:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/10,1999-03-29,22,5,10,The Farnsworth Parabox,2003-06-09T00:00:00Z,8.16418,38872,tt0757485,1232878,131239,"animation,comedy,science-fiction,adventure"
2025-12-27T21:08:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/9,1999-03-29,22,5,9,The Sting,2003-06-02T00:00:00Z,8.12302,38871,tt0584459,1232877,131238,"animation,comedy,science-fiction,adventure"
2025-12-27T20:25:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/8,1999-03-29,22,5,8,The Why of Fry,2003-04-07T00:00:00Z,8.05085,38870,tt0584460,1232876,131237,"animation,comedy,science-fiction,adventure"
2025-12-27T12:01:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/7,1999-03-29,22,5,7,Teenage Mutant Leela's Hurdles,2003-03-31T01:00:00Z,7.85308,38869,tt0584450,1232875,131236,"animation,comedy,science-fiction,adventure"
2025-12-27T12:01:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/6,1999-03-29,22,5,6,Less Than Hero,2003-03-03T01:00:00Z,7.52765,38868,tt0757483,1232874,131235,"animation,comedy,science-fiction,adventure"
2025-12-27T04:22:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/5,1999-03-29,22,5,5,Kif Gets Knocked Up A Notch,2003-01-13T01:00:00Z,7.44404,38867,tt0757482,1232873,131234,"animation,comedy,science-fiction,adventure"
2025-12-27T04:07:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/4,1999-03-29,22,5,4,A Taste of Freedom,2002-12-23T01:00:00Z,7.50806,38866,tt0584430,1108229,131233,"animation,comedy,science-fiction,adventure"
2025-12-27T00:14:00Z,watch,movie,A Babysitter's Guide to Monster Hunting,2020,6.19054,466468,tt4844150,624963,,https://trakt.tv/movies/a-babysitter-s-guide-to-monster-hunting-2020,2020-10-14,95,,,,,,,,,,"adventure,family,fantasy,comedy"
2025-12-26T20:04:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/3,1999-03-29,22,5,3,The Route of All Evil,2002-12-09T01:00:00Z,7.45035,38865,tt0584458,1108228,131232,"animation,comedy,science-fiction,adventure"
2025-12-26T19:44:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/2,1999-03-29,22,5,2,Jurassic Bark,2002-11-18T01:00:00Z,8.4137,38864,tt0584444,1108227,131231,"animation,comedy,science-fiction,adventure"
2025-12-26T19:44:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/5/episodes/1,1999-03-29,22,5,1,Crimes of the Hot,2002-11-11T01:00:00Z,7.6779,38863,tt0584437,35076,131230,"animation,comedy,science-fiction,adventure"
2025-12-26T18:51:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/4/episodes/12,1999-03-29,22,4,12,Where No Fan Has Gone Before,2002-04-22T00:00:00Z,7.81222,38862,tt0584464,35060,131229,"animation,comedy,science-fiction,adventure"
2025-12-26T18:26:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/4/episodes/11,1999-03-29,22,4,11,30% Iron Chef,2002-04-15T00:00:00Z,7.62971,38861,tt0756889,1285649,131228,"animation,comedy,science-fiction,adventure"
2025-12-26T17:54:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/4/episodes/10,1999-03-29,22,4,10,A Leela of Her Own,2002-04-08T00:00:00Z,7.35063,38860,tt0584428,1285648,131227,"animation,comedy,science-fiction,adventure"
2025-12-26T14:56:00Z,watch,movie,The House with a Clock in Its Walls,2018,6.84498,311024,tt2119543,463821,,https://trakt.tv/movies/the-house-with-a-clock-in-its-walls-2018,2018-09-15,105,,,,,,,,,,"fantasy,family,comedy,horror,mystery"
2025-12-26T03:35:00Z,watch,movie,Gulliver's Travels,2010,5.51181,25074,tt1320261,38745,,https://trakt.tv/movies/gulliver-s-travels-2010,2010-12-25,85,,,,,,,,,,"comedy,adventure,family,fantasy"
2025-12-25T23:45:00Z,watch,movie,Goosebumps 2: Haunted Halloween,2018,6.52623,287581,tt5664636,442062,,https://trakt.tv/movies/goosebumps-2-haunted-halloween-2018,2018-10-12,90,,,,,,,,,,"comedy,fantasy,horror,family"
2025-12-25T22:08:00Z,watch,movie,Little Evil,2017,6.18503,261098,tt2937366,346671,,https://trakt.tv/movies/little-evil-2017,2017-09-01,94,,,,,,,,,,"comedy,horror"
2025-12-25T21:05:00Z,watch,episode,The Kardashians,2022,4.52413,192158,tt15791630,154521,414093,https://trakt.tv/shows/the-kardashians/seasons/7/episodes/10,2022-04-14,59,7,10,"So, Breaking News...",2025-12-25T05:00:00Z,7.11538,13676007,,6644843,11420893,reality
2025-12-25T20:13:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/4/episodes/9,1999-03-29,22,4,9,Future Stock,2002-03-18T01:00:00Z,7.54799,38859,tt0584440,1285647,131226,"animation,comedy,science-fiction,adventure"
2025-12-25T19:45:00Z,watch,movie,Borderlands,2024,5.58583,223432,tt4978420,365177,,https://trakt.tv/movies/borderlands-2024,2024-08-09,101,,,,,,,,,,"action,science-fiction,comedy"
2025-12-24T21:55:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/4/episodes/8,1999-03-29,22,4,8,Godfellas,2002-03-18T01:00:00Z,8.09064,38858,tt0756880,1285646,131225,"animation,comedy,science-fiction,adventure"
2025-12-24T16:57:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/4/episodes/7,1999-03-29,22,4,7,A Pharaoh to Remember,2002-03-11T01:00:00Z,7.5644,38857,tt0756878,1285645,131224,"animation,comedy,science-fiction,adventure"
2025-12-24T13:56:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/4/episodes/6,1999-03-29,22,4,6,Where the Buggalo Roam,2002-03-04T01:00:00Z,7.52184,38856,tt0756893,1285644,131223,"animation,comedy,science-fiction,adventure"
2025-12-24T13:32:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/4/episodes/5,1999-03-29,22,4,5,Leela's Homeworld,2002-02-18T01:00:00Z,7.94737,38855,tt0756884,35053,131222,"animation,comedy,science-fiction,adventure"
2025-12-24T00:18:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/4/episodes/4,1999-03-29,22,4,4,Love and Rocket,2002-02-11T01:00:00Z,7.6656,38854,tt0584446,35052,131221,"animation,comedy,science-fiction,adventure"
2025-12-23T23:47:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/4/episodes/3,1999-03-29,22,4,3,Anthology of Interest II,2002-01-07T01:00:00Z,7.67114,38853,tt0756879,1285643,131220,"animation,comedy,science-fiction,adventure"
2025-12-23T23:47:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/4/episodes/2,1999-03-29,22,4,2,A Tale of Two Santas,2001-12-24T01:00:00Z,7.49625,38852,tt0584429,1285642,131219,"animation,comedy,science-fiction,adventure"
2025-12-23T22:36:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/4/episodes/1,1999-03-29,22,4,1,Roswell That Ends Well,2001-12-10T01:00:00Z,7.95317,38851,tt0756888,1285641,131218,"animation,comedy,science-fiction,adventure"
2025-12-23T21:23:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/3/episodes/15,1999-03-29,22,3,15,I Dated a Robot,2001-05-14T00:00:00Z,7.56436,38850,tt0584443,35048,131217,"animation,comedy,science-fiction,adventure"
2025-12-23T02:46:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/3/episodes/14,1999-03-29,22,3,14,Time Keeps On Slippin',2001-05-07T00:00:00Z,7.88223,38849,tt0584462,35047,131216,"animation,comedy,science-fiction,adventure"
2025-12-23T02:25:00Z,watch,episode,Futurama,1999,8.54499,614,tt0149460,615,73871,https://trakt.tv/shows/futurama/seasons/3/episodes/13,1999-03-29,22,3,13,Bendin' in the Wind,2001-04-23T00:00:00Z,7.44396,38848,tt0584435,35046,131215,"animation,comedy,science-fiction,adventure"
